"",ISO 9001:2008,ISO 9001:2015
Produits,,Produits et services
Exclusions,,Non utilisé
"",,(Voir l’Article A.5 pour une clarification de l’applicabilité)
Représentant de la direction,,Non utilisé
"",,(Des responsabilités et autorités similaires sont attri-
"",,"buées, mais aucune exigence relative à un représentant"
"",,unique de la direction)
"Documentation, manuel  qualité, procédures  documentées,",,Informations documentées
enregistrements,,
Environnement de travail,,Environnement pour la mise en œuvre des processus
Équipements pour la surveillance et la mesure,,Ressources pour la surveillance et la mesure
Produit acheté,,Produits et services fournis par des prestataires externes
Fournisseur,,Prestataire externe
